INT	INT	STRING
25	70	#W&U#P带众兄弟顶着雷击除掉了#{_BOSS7}#P，#G苍山#P的大地又恢复了平静。当地百姓以一本#W&I#P相赠作为报答。
112	71	#{_BOSS5}#P正在#G玄武岛#P排兵布阵，可惜阵型未成便遭到#W&U#P小队的突袭，溃不成军，只好交出一本#W&I#P乞降！
272	72	#{_BOSS118}#P在#G藏经阁#P强夺经书，眼看就要得手之际，被#W&U#P伸脚一绊，自己身受重伤不说，还从袈裟中掉出了一本#W&I#P。
281	73	#{_BOSS121}#P把玩着宝物，突然寒光闪过#W&I#P掉落，#W&U#P接住道：“多谢！”
281	73	#W&U#P带领众豪杰寻找宝藏，偶遇#{_BOSS121}#P大战一百回合，他丢下手中的#W&I#P慌忙逃走。
281	73	#{_BOSS121}#P欣赏着手中的奇宝，突然#W&U#P飞出，夺走了#{_BOSS121}#P手中的奇宝#W&I#P。
112	74	#{_BOSS24}#P刚到#G玄武岛#P散步，没想#W&U#P在路边埋伏已久，#{_BOSS24}#P被海扁一通后只得乖乖的交出#W&I#P。
	75	#{_BOSS27}#P在门派内为非作歹，#W&U#P为维护门派秩序将其重创，掌门人见其为门派立功，特给予#W&I#P以资鼓励。
170	77	#{_BOSS29}#P正欲攻陷城池，却不想被#W&U#P单骑杀退，#W&U#P清理战场之时无意在大帐内发现一个#W&I#P！
79	78	#W&U#P路过#{_BOSS45}#P的营地，趁其睡觉之际顺手摸走了一个#W&I#P。
81	79	#W&U#P前往#{_BOSS46}#P巢穴，利用咸鱼将#{_BOSS46}#P引开后，轻松从巢穴内带走了#W&I#P。
281	80	#W&U#P大侠英勇异常，带领众豪杰把#{_BOSS121}#P打的落花流水，#{_BOSS121}#P甘拜下风，竟双手献上了#W&I#P来讨饶求和。
261	81	#W&U#P飞起一脚将#{_BOSS76}#P踹下坐骑，抢来坐骑定睛一看，哇塞原来是#W&I#P，顿时心中大喜。
272	82	#W&U#P在#G藏经阁#P研读经书，不想#{_BOSS118}#P却在其中大声喧哗，#W&U#P以德服人，一通道理说的#{_BOSS118}#P只好拿出一个#W&I#P来赔罪。
80	83	#W&U#P前往#G野外匪寨#P处探听乱匪的消息，发现#{_BOSS47}#P的宝库中竟藏有#W&I#P，#W&U#P本着不浪费、不放弃的原则，悄悄将其带走。
267	84	#W&U#P在#G熔岩之地#P考察地理环境，不想被路过的#{_BOSS97}#P吓了一跳，待心神稳定之后突然发现地上竟有一个#W&I#P！
546	85	#W&U#P在#G生死擂台#P大杀四方，轻松从众杀星那里夺取了#W&I#P！
292	88	#P秦皇地宫四层的#{_BOSS123}正在屋内整理衣物，不想#W&U#P一头撞了进来，#{_BOSS123}大惊，丢出一个#W&I#P将其砸跑。
579	90	#W&U#P成功制服了#Y#{_BOSS126}#P，就在要转身离去时，竟然发现一个#W&I#P掉落在原地！
